# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 103, mean track length: 2
1 -2.3051906050585722 -0.93139296704033447 9.1102886319391274 86 81 71 0.084857432768189189 38 91 37 105
2 -3.3570497772244994 -0.28491503536882828 11.826387422536897 38 54 70 0.20141472434932967 38 116 37 144
3 -3.1765180945175211 -0.89555544339310789 11.679228817850893 53 38 35 0.22520209813747749 38 203 37 217
4 -2.1586102566115923 -0.50097844807005332 12.053576099606248 55 51 50 0.75742175709602111 38 207 37 220
5 -3.4108709420699395 -0.039568071645438824 11.883055548987029 37 40 29 0.85533601500969403 38 123 37 235
6 -3.1972158416252854 -0.8054368818365919 11.71141297008227 71 60 56 0.11749755853398353 38 205 37 246
7 -3.0663310373625068 -0.84605595581025517 11.704560802022804 67 56 50 0.089243571429841476 38 236 37 247
8 -3.7596245156620509 -0.30754354256552263 11.922129019808814 145 112 102 2.4083806598840871 38 187 37 259
9 -2.6057260810152552 -0.19557439536666221 11.905090016688362 64 49 44 0.12908357771686141 38 214 37 271
10 -2.547602707362711 -0.16576275403264079 11.931832086313827 56 41 40 0.235670249649859 38 194 37 273
11 -3.323087068835445 0.22471700759978255 11.928741728114105 56 53 22 0.39639652322968777 38 220 37 276
12 -3.6437780461864251 0.35709484380636386 12.057888746262282 69 54 49 0.79972178320825904 38 174 37 279
13 -2.8835202464048741 0.3098028105665242 11.944197164154843 78 80 66 0.62400264796355653 38 224 37 281
14 -3.5636615827559641 0.54677209077413824 12.048275502223508 52 59 72 0.9480923843488146 38 200 37 284
15 -2.6217217653341232 0.63573273981250145 12.090121422888672 59 66 76 0.020106151433284085 38 232 37 287
16 -2.6217217653341232 0.63573273981250145 12.090121422888672 59 66 76 0.020106151433284085 38 231 37 288
17 -3.3373425169575008 -0.44438973472595278 11.800474576524238 43 47 56 0.40983617581490228 38 239 37 294
18 -3.3966307348903997 -0.37267531441542362 11.826359159505675 32 40 52 0.49078443868256444 38 211 37 297
19 -3.3377492070047148 -0.40108698262725789 11.807840477409179 20 35 56 0.21754379446574945 38 240 37 298
20 -3.2308038467902063 -0.23701597505893399 11.818032093339742 46 54 67 0.061654533016229085 38 244 37 303
21 -2.6211176816540624 -0.079634906219937948 11.92515939907914 89 77 72 0.0086956669819806577 38 248 37 304
22 -2.5595597387622044 -0.0960754081214137 11.944091042014268 86 72 70 0.23072689566107821 38 249 37 305
23 -2.5420741137316885 -0.084677761365701251 11.952728566144648 61 43 43 0.23454111680123618 38 250 37 306
24 -2.2237976052667929 0.47881254863884737 12.134315035724349 132 95 84 2.3042221487775874 38 253 37 313
25 -3.5259619752046127 0.61156241528297695 12.052291032295702 86 78 78 0.89832764167856638 38 227 37 314
26 -2.5661477132357136 -0.76293622572342101 11.805779451013386 22 30 15 0.71433458450788012 38 287 37 319
27 -3.2633004493348343 -0.27895734643888409 11.820260851005598 51 59 70 0.13330047656062149 38 265 37 321
28 -2.6596300435992331 -0.18367356413286359 11.897214906898149 58 42 42 0.39559894283345209 38 267 37 325
29 -2.5783776597096093 -0.17413239673087669 11.921416006030332 90 79 73 0.11227939214726135 38 292 37 327
30 -2.5956351252764396 -0.097204547702072555 11.928603872917904 55 37 37 0.19253537654015823 38 268 37 328
31 -2.285453710339465 -0.16436978625088544 12.040790834230943 106 95 83 0.82455914292069743 38 269 37 329
32 -2.4628933198791017 0.046017918346938511 12.005380465008262 53 58 61 0.23012071738226711 38 272 37 332
33 -2.8787404385482227 0.37847652946856281 11.960922781010128 80 82 68 0.33126921361952222 38 279 37 337
34 -2.8490227192882203 0.43285366475957932 11.978938603455678 74 77 60 0.24989043634529262 38 280 37 340
35 -2.5449778969302099 0.42665373367684378 12.058098699784153 105 69 21 0.34319438529253743 38 300 37 341
36 -3.2380696040432091 0.68782243390342512 12.009042589293186 49 55 43 0.58318594505398857 38 255 37 342
37 -2.7049362510698778 0.6285680470246382 12.063818250273172 46 54 65 0.45929253768378192 38 282 37 343
38 -3.2415316602153159 -0.84297074229457547 11.697889816441931 67 53 51 0.064526616860484026 38 286 37 346
39 -3.2415316602153159 -0.84297074229457547 11.697889816441931 67 53 51 0.064526616860484026 38 285 37 347
40 -2.5373721394959126 -0.7458577264283095 11.818594179977117 82 74 66 0.43683161211620292 38 288 37 348
41 -2.8646463624566567 -0.50102027005745886 11.787909669804806 81 53 50 0.06124468777116765 38 314 37 349
42 -3.2171887215221382 -0.26622329863764971 11.81398377885346 25 38 55 0.055069456140167131 38 291 37 354
43 -2.6095592676673154 -0.1465917464784271 11.913322678654826 49 31 34 0.071376280875370873 38 293 37 356
44 -3.4156966431164077 -0.076777669738025162 11.884702853428276 86 79 71 0.67914999808846699 38 266 37 357
45 -2.5821713005807507 -0.051131052858074927 11.945442341615216 59 43 43 0.17676380286150367 38 295 37 361
46 -2.8858813245025727 0.34075830897856879 11.949431993948725 44 52 35 0.5350286475951227 38 299 37 364
